Date,Open,High,Low,Close,Volume,OI
2010-03-16,1.22,1.25,1.22,1.23,25000,0
2010-03-17,1.24,1.26,1.24,1.25,6200,0
2010-03-18,1.21,1.24,1.2,1.24,40100,0
2010-03-19,1.2,1.24,1.2,1.24,10143,0
2010-03-22,1.24,1.24,1.24,1.24,1000,0
2010-03-23,1.18,1.23,1.18,1.22,12500,0
2010-03-24,1.2,1.25,1.2,1.25,30000,0
2010-03-25,1.24,1.26,1.2,1.21,226700,0
2010-03-26,1.21,1.23,1.2,1.21,35000,0
2010-03-29,1.21,1.21,1.21,1.21,20000,0
2010-03-30,1.28,1.28,1.2,1.2,70200,0
2010-03-31,1.2,1.23,1.2,1.2,123700,0
2010-04-01,1.21,1.22,1.19,1.22,82200,0
2010-04-02,1.2,1.22,1.2,1.22,21900,0
2010-04-05,1.24,1.24,1.2,1.2,6000,0
2010-04-07,1.2,1.24,1.2,1.24,2600,0
2010-04-08,1.22,1.24,1.19,1.24,15200,0
2010-04-12,1.18,1.23,1.18,1.23,15500,0
2010-04-16,1.18,1.18,1.17,1.17,14000,0
2010-04-19,1.18,1.18,1.12,1.17,194700,0
2010-04-20,1.18,1.18,1.16,1.16,12500,0
2010-04-21,1.15,1.2,1.15,1.19,51600,0
2010-04-22,1.16,1.19,1.16,1.19,22900,0
2010-04-23,1.16,1.18,1.16,1.18,78900,0
